Format,LMUTelemetry v3
Version,1
Player,BREUX KACEM
TrackName,Circuit de Spa-Francorchamps
CarClass,GTE
CarName,D'station Racing #777:LM
SessionUTC,2025-11-21T10:52:16Z
LapTime [s],0.000
TrackLen [m],6981.600586
NumSectors,3
Sector1End [m],2327.200195
Sector2End [m],4654.400391
Sector3End [m],6981.600586
GameVersion,1.0
Event,Practice

LapDistance [m],Sector [int],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Gear [int],X [m],Z [m]
115.803,0,208.16,6793.64,100.00,0.00,-19.57,4,-300.93,842.25
127.316,0,207.97,6792.28,100.00,0.00,-39.14,4,-301.56,843.22
127.316,0,208.18,6790.91,100.00,0.00,-58.71,4,-302.20,844.19
127.316,0,208.18,6790.91,100.00,0.00,-58.71,4,-302.20,844.19
127.316,0,208.64,6797.74,100.00,0.00,-78.28,4,-302.83,845.15
127.316,0,208.51,6796.37,100.00,0.00,-78.28,4,-303.47,846.12
127.316,0,208.70,6807.28,100.00,0.00,-97.85,4,-304.10,847.09
127.316,0,206.79,6691.33,0.00,0.00,-97.85,0,-304.74,848.05
127.316,0,206.30,6503.07,0.00,0.00,-58.71,0,-305.38,849.01
127.316,0,206.39,6318.91,0.00,0.00,-58.71,0,-306.01,849.97
127.316,0,206.21,6137.47,0.00,0.00,-58.71,0,-306.64,850.93
127.316,0,206.40,5941.03,11.11,0.00,-58.71,5,-307.27,851.88
138.815,0,207.93,5916.47,100.00,0.00,-58.71,5,-307.90,852.83
138.815,0,208.49,5927.38,100.00,0.00,-58.71,5,-308.54,853.79
138.815,0,208.44,5936.93,100.00,0.00,-39.14,5,-309.17,854.75
138.815,0,208.75,5932.84,100.00,0.00,-19.57,5,-309.81,855.71
138.815,0,208.75,5942.39,100.00,0.00,0.00,5,-310.45,856.68
138.815,0,208.84,5945.12,100.00,0.00,19.57,5,-311.09,857.64
138.815,0,209.00,5947.85,100.00,0.00,19.57,5,-311.74,858.61
138.815,0,209.03,5953.30,100.00,0.00,39.14,5,-312.38,859.58
