Format,LMUTelemetry v3
Version,1
Player,Jose Manuel Fernandez
TrackName,Circuit de Spa-Francorchamps
CarClass,GTE
CarName,Dempsey-Proton Racing #77:LM
SessionUTC,2025-11-21T10:50:08Z
LapTime [s],0.000
TrackLen [m],6981.600586
NumSectors,3
Sector1End [m],2327.200195
Sector2End [m],4654.400391
Sector3End [m],6981.600586
GameVersion,1.0
Event,Practice

LapDistance [m],Sector [int],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Gear [int],X [m],Z [m]
211.332,0,104.58,6604.02,0.00,28.57,-78.28,2,-349.74,917.12
211.332,0,103.96,6567.19,0.00,28.57,-78.28,2,-350.06,917.61
211.332,0,103.52,6530.36,0.00,28.57,-78.28,2,-350.38,918.09
217.232,0,102.86,6497.61,0.00,30.16,-58.71,2,-350.70,918.57
217.232,0,102.86,6497.61,0.00,30.16,-58.71,2,-350.70,918.57
217.232,0,102.40,6460.78,0.00,30.16,-58.71,2,-351.02,919.05
217.232,0,101.98,6422.58,0.00,30.16,-58.71,2,-351.33,919.53
217.232,0,101.33,6385.75,0.00,30.16,-39.14,2,-351.64,920.00
217.232,0,100.82,6354.37,0.00,30.16,-19.57,2,-351.95,920.47
217.232,0,100.29,6323.00,0.00,28.57,-19.57,2,-352.26,920.94
217.232,0,99.75,6295.72,0.00,28.57,0.00,2,-352.57,921.41
217.232,0,99.26,6271.16,0.00,28.57,19.57,2,-352.88,921.87
217.232,0,98.73,6246.60,0.00,28.57,39.14,2,-353.18,922.33
217.232,0,98.10,6217.96,0.00,28.57,58.71,2,-353.48,922.79
222.831,0,97.54,6187.94,0.00,28.57,58.71,2,-353.78,923.24
222.831,0,97.14,6160.66,0.00,28.57,78.28,2,-354.08,923.70
222.831,0,96.51,6129.28,0.00,28.57,97.85,2,-354.38,924.15
222.831,0,96.14,6095.18,0.00,28.57,97.85,2,-354.67,924.60
222.831,0,95.57,6061.08,0.00,28.57,100.00,2,-354.97,925.05
222.831,0,95.11,6029.70,0.00,28.57,100.00,2,-355.26,925.49
222.831,0,94.62,5996.96,0.00,28.57,100.00,2,-355.54,925.94
222.831,0,94.05,5962.85,0.00,28.57,100.00,2,-355.83,926.38
222.831,0,94.05,5962.85,0.00,28.57,100.00,2,-355.83,926.38
222.831,0,93.93,6646.31,39.68,28.57,2.35,0,-356.11,926.82
222.831,0,93.46,7048.75,25.40,28.57,2.74,0,-356.40,927.26
228.141,0,93.18,7242.46,17.46,28.57,3.13,0,-356.68,927.70
228.141,0,92.65,7295.66,12.70,28.57,3.52,0,-356.95,928.14
228.141,0,92.22,7272.47,9.52,30.16,4.11,0,-357.23,928.57
228.141,0,91.65,7201.53,0.00,30.16,4.70,1,-357.51,929.01
228.141,0,90.31,7133.33,0.00,30.16,5.28,1,-357.78,929.44
228.141,0,89.97,7085.58,0.00,30.16,5.87,1,-358.04,929.87
228.141,0,89.39,7039.20,0.00,31.75,6.46,1,-358.30,930.30
228.141,0,88.75,7001.00,0.00,31.75,7.05,1,-358.56,930.73
228.141,0,88.12,6964.17,0.00,31.75,7.63,1,-358.82,931.15
228.141,0,87.47,6928.70,0.00,33.33,8.22,1,-359.06,931.57
233.177,0,86.73,6886.41,0.00,34.92,9.00,1,-359.31,931.99
233.177,0,85.99,6845.48,0.00,34.92,9.78,1,-359.55,932.41
233.177,0,85.36,6808.65,0.00,34.92,10.37,1,-359.78,932.83
233.177,0,84.78,6764.99,0.00,34.92,11.15,1,-360.01,933.25
233.177,0,84.21,6718.61,0.00,34.92,11.94,1,-360.23,933.66
233.177,0,83.59,6674.96,0.00,34.92,12.72,1,-360.45,934.07
233.177,0,83.59,6674.96,0.00,34.92,12.72,1,-360.45,934.07
233.177,0,82.97,6629.94,0.00,34.92,13.50,1,-360.66,934.49
233.177,0,82.47,6582.19,0.00,34.92,14.29,1,-360.86,934.90
233.177,0,81.97,6527.63,0.00,34.92,15.07,1,-361.07,935.31
233.177,0,81.27,6475.79,0.00,34.92,15.85,1,-361.26,935.72
237.817,0,80.58,6423.95,0.00,34.92,16.63,1,-361.45,936.13
237.817,0,80.10,6376.20,0.00,34.92,17.42,1,-361.64,936.54
237.817,0,79.48,6329.82,0.00,34.92,18.20,1,-361.81,936.94
237.817,0,78.87,6282.07,0.00,34.92,18.79,1,-361.99,937.35
237.817,0,78.16,6235.69,0.00,34.92,19.37,1,-362.15,937.75
237.817,0,77.62,6197.49,0.00,34.92,19.96,1,-362.31,938.15
237.817,0,76.82,6160.66,0.00,34.92,20.74,1,-362.47,938.56
237.817,0,76.31,6118.37,0.00,34.92,21.33,1,-362.61,938.96
237.817,0,75.65,6071.99,0.00,34.92,22.11,1,-362.75,939.36
237.817,0,75.13,6028.34,0.00,34.92,22.90,1,-362.89,939.76
242.021,0,74.66,5987.41,0.00,33.33,23.68,1,-363.01,940.15
242.021,0,74.38,5941.03,0.00,33.33,24.27,1,-363.14,940.55
242.021,0,73.83,5898.74,0.00,33.33,25.05,1,-363.25,940.95
242.021,0,73.38,5852.35,0.00,31.75,25.83,1,-363.36,941.34
242.021,0,72.80,5810.07,0.00,31.75,26.81,1,-363.47,941.74
242.021,0,72.80,5810.07,0.00,31.75,26.81,1,-363.47,941.74
242.021,0,71.99,5730.94,0.00,30.16,28.77,1,-363.67,942.52
242.021,0,71.99,5730.94,0.00,30.16,28.77,1,-363.67,942.52
242.021,0,71.61,5684.56,0.00,30.16,29.94,1,-363.76,942.91
242.021,0,71.19,5638.18,0.00,30.16,30.92,1,-363.85,943.30
242.021,0,70.66,5638.18,0.00,30.16,30.92,1,-363.93,943.69
245.739,0,70.01,5556.33,0.00,28.57,32.49,1,-364.00,944.08
245.739,0,69.57,5524.95,0.00,28.57,33.07,1,-364.07,944.46
245.739,0,69.27,5493.57,0.00,26.98,33.46,1,-364.13,944.85
245.739,0,68.85,5460.83,0.00,26.98,33.66,1,-364.19,945.23
245.739,0,68.53,5425.36,0.00,25.40,33.86,1,-364.23,945.61
245.739,0,68.28,5393.99,0.00,25.40,33.86,1,-364.27,946.00
245.739,0,67.95,5368.07,0.00,23.81,33.86,1,-364.31,946.38
245.739,0,67.73,5348.97,0.00,22.22,33.86,1,-364.34,946.75
245.739,0,67.64,5324.42,0.00,20.63,33.86,1,-364.36,947.13
245.739,0,67.48,5293.04,0.00,19.05,34.05,1,-364.38,947.51
249.071,0,67.21,5263.03,0.00,19.05,34.05,1,-364.39,947.89
249.071,0,66.96,5233.01,0.00,17.46,34.25,1,-364.40,948.27
249.071,0,66.60,5205.73,0.00,15.87,34.44,1,-364.40,948.64
249.071,0,66.60,5205.73,0.00,15.87,34.44,1,-364.40,948.64
249.071,0,66.38,5179.81,0.00,15.87,34.64,1,-364.39,949.02
249.071,0,66.05,5156.62,0.00,15.87,35.03,1,-364.39,949.39
249.071,0,65.85,5130.70,0.00,14.29,35.42,1,-364.37,949.76
249.071,0,65.69,5106.15,0.00,14.29,35.62,1,-364.35,950.13
249.071,0,65.42,5087.05,0.00,12.70,36.01,1,-364.32,950.49
249.071,0,65.27,5063.86,0.00,12.70,36.59,1,-364.29,950.86
249.071,0,65.05,5046.12,0.00,11.11,36.99,1,-364.25,951.22
252.447,0,64.80,5027.02,0.00,11.11,37.57,1,-364.21,951.58
252.447,0,64.68,5007.92,0.00,11.11,38.16,1,-364.16,951.94
252.447,0,64.50,4990.19,0.00,9.52,38.55,1,-364.11,952.30
252.447,0,64.29,4975.18,0.00,9.52,39.14,1,-364.05,952.66
252.447,0,64.02,4958.81,0.00,7.94,39.73,1,-363.99,953.01
252.447,0,63.86,4939.72,0.00,7.94,40.12,1,-363.92,953.36
252.447,0,63.55,4920.62,0.00,7.94,40.70,1,-363.84,953.71
252.447,0,63.46,4901.52,0.00,6.35,41.10,1,-363.76,954.05
252.447,0,63.15,4882.42,0.00,6.35,41.68,1,-363.68,954.39
252.447,0,62.96,4866.05,0.00,6.35,42.07,1,-363.59,954.73
255.710,0,62.73,4849.68,0.00,6.35,42.47,1,-363.50,955.07
255.710,0,62.59,4829.22,0.00,6.35,42.86,1,-363.40,955.40
255.710,0,62.53,4815.57,0.00,4.76,43.25,1,-363.29,955.73
255.710,0,62.45,4800.57,1.59,4.76,43.44,1,-363.18,956.06
255.710,0,62.45,4800.57,1.59,4.76,43.44,1,-363.18,956.06
255.710,0,62.54,4795.11,3.17,3.17,43.64,1,-363.07,956.39
255.710,0,62.63,4797.84,6.35,3.17,43.84,1,-362.95,956.71
255.710,0,62.88,4804.66,7.94,1.59,43.84,1,-362.82,957.04
255.710,0,63.18,4819.67,11.11,0.00,44.03,1,-362.69,957.36
255.710,0,63.41,4831.94,15.87,0.00,44.03,1,-362.56,957.69
255.710,0,63.61,4844.22,19.05,0.00,44.23,1,-362.42,958.01
258.712,0,63.77,4855.14,22.22,0.00,44.23,1,-362.27,958.33
258.712,0,64.05,4874.23,23.81,0.00,44.62,1,-362.12,958.66
258.712,0,64.28,4883.78,26.98,0.00,44.81,1,-361.96,958.98
258.712,0,64.44,4887.88,26.98,0.00,45.01,1,-361.80,959.30
258.712,0,64.51,4891.97,26.98,0.00,45.21,1,-361.63,959.62
258.712,0,64.70,4896.06,26.98,0.00,45.21,1,-361.45,959.93
258.712,0,64.86,4902.88,26.98,0.00,45.40,1,-361.27,960.25
258.712,0,64.70,4915.16,26.98,0.00,45.40,1,-361.09,960.56
258.712,0,65.11,4924.71,26.98,0.00,45.60,1,-360.90,960.87
258.712,0,65.19,4920.62,26.98,0.00,45.79,1,-360.71,961.18
262.826,0,65.26,4921.98,25.40,0.00,45.79,1,-360.51,961.49
262.826,0,65.36,4924.71,23.81,0.00,45.99,1,-360.31,961.80
262.826,0,65.37,4924.71,23.81,0.00,46.18,1,-360.10,962.10
262.826,0,65.47,4927.44,23.81,0.00,46.38,1,-359.88,962.40
262.826,0,65.46,4934.26,22.22,0.00,46.58,1,-359.66,962.69
262.826,0,65.54,4930.17,22.22,0.00,46.77,1,-359.44,962.98
262.826,0,65.50,4932.89,22.22,0.00,46.77,1,-359.21,963.27
262.826,0,65.78,4935.62,22.22,0.00,46.77,1,-358.98,963.55
262.826,0,65.87,4939.72,22.22,0.00,46.77,1,-358.74,963.83
